c;c;o;c;s;f;s;g;n;o;u;o;u;c;o;
Eerste Divisie;Almere;Excelsior;1,8;S;1,9;G;1,44;2,62;1,14;5,5;1,57;2,35;3;0;
Championship;Qpr;Middlesbrough;1,8;S;1,9;G;1,66;2,1;1,28;3,75;1,85;2;2;2;
Serie B;LR Vicenza;Ascoli;1,8;S;1,9;G;1,8;1,95;1,66;3,25;2,1;1,7;2;0;
Ligue 1;Strasburgo;Rennes;1,8;ND;1,9;ND;1,8;1,95;1,33;3,4;2,05;1,85;2;1;
Championship;Sheffield Utd;Bournemouth;1,8;S;1,9;G;1,83;1,83;1,36;3,2;2,1;1,72;0;0;
Bundesliga;Union Berlino;Magonza;1,8;S;1,9;G;1,95;1,8;1,4;3;2,3;1,61;3;1;
Serie A;Sassuolo;Fiorentina;1,83;G;1,83;S;1,44;2,62;1,16;5;1,57;2,37;2;1;
2 Bundesliga;Aue;Karlsruher;1,83;G;1,83;S;1,57;2,25;1,2;4,33;1,7;2,1;0;3;
Serie A;Empoli;Verona;1,83;G;1,83;S;1,57;2,25;1,22;4,33;1,66;2,2;1;1;
Conference League;Slavia Praga;Feyenoord;1,83;G;1,83;S;1,61;2,2;1,22;4;1,72;2,07;1;3;
Eredivisie;Heracles;Utrecht;1,83;G;1,83;S;1,66;2,1;1,25;3,75;1,93;1,93;1;0;
Serie A;Napoli;Inter;1,83;G;1,83;S;1,66;2,1;1,25;4;1,89;2,01;1;1;
Liga Portugal;Braga;Benfica;1,83;G;1,83;S;1,66;2,1;1,25;3,75;1,88;1,98;3;2;
2 Bundesliga;Furth;Hertha;1,83;G;1,83;S;1,7;2,05;1,28;3,75;1,96;1,94;2;1;
Serie B;Parma;Lecce;1,83;G;1,83;S;1,7;2,05;1,28;3,5;2;1,85;0;0;
Liga MX ;Santos Laguna;Pachuca;1,83;G;1,83;S;1,7;2,05;1,28;3,5;1,95;1,9;3;1;
Serie A;Salernitana;Spezia;1,83;G;1,83;S;1,75;2;1,33;3,4;2,09;1,81;2;2;
Premier League;Everton;Leicester;1,83;G;1,83;S;1,75;2;1,3;3,5;2,05;1,85;1;1;
Premier League;Brentford;West Ham;1,83;G;1,83;S;1,8;1,95;1,33;3,4;2,1;1,72;2;0;
Laliga;Elche;Valencia;1,83;G;1,83;S;1,9;1,9;1,36;3,2;2,2;1,66;0;1;
Primera A Col;Dep Cali;Atl Nacional;1,83;G;1,83;S;1,9;1,8;1,4;2,75;2,3;1,6;3;3;
Primera A Col;Dep Cali;Atl Nacional;1,83;G;1,83;S;1,9;1,8;1,4;2,75;2,3;1,6;3;3;
Championship;Hull;Huddersfield;1,83;G;1,83;S;1,9;1,8;1,44;2,75;2,3;1,61;0;1;
Serie B;Alessandria;Pisa;1,83;G;1,83;S;2;1,75;1,44;2,62;2,5;1,5;1;1;
Ligue 1;Reims;Lilla;1,83;G;1,83;S;2;1,75;1,5;2,62;2,5;1,53;2;1;
1 Lig;Altinordu;Genclerbirligi;1,83;S;1,83;G;1,53;2,37;1,2;4,33;1,7;2,1;1;2;
Premier League;Everton;Leeds;1,83;S;1,83;G;1,57;2,25;1,22;4,33;1,66;2,2;3;0;
Champions League;Real Madrid;Chelsea;1,83;S;1,83;G;1,57;2,25;1,2;4,5;1,66;2,2;1;3;
Europa League;Atalanta;RB Lipsia;1,83;S;1,83;G;1,57;2,25;1,22;4,33;1,72;2,1;0;2;
Liga Pro Ecu;Dep Cuenca;U Catolica;1,83;S;1,83;G;1,61;2,2;1,25;3,75;1,83;1,98;0;2;
Serie A;Venezia;Sampdoria;1,83;S;1,83;G;1,7;2,05;1,3;3,5;1,96;1,94;0;2;
Jupiler League;Kortrijk;ST Liege;1,83;S;1,83;G;1,75;2;1,3;3,4;2,05;1,75;0;1;
Ligue 1;Strasburgo;Monaco;1,83;S;1,83;G;1,8;1,95;1,33;3,4;2,2;1,66;1;0;
Primera Division Par;General Caballero Jlm;Guairena FC;1,83;S;1,83;G;1,8;1,9;1,33;3,25;2,07;1,72;0;1;
Eerste Divisie;Graafschap;Maastricht;1,83;S;1,83;G;1,83;1,83;1,36;3;2,1;1,7;1;1;
Championship;West Brom;Bournemouth;1,83;ND;1,83;ND;1,83;1,83;1,4;3;2,2;1,66;2;0;
Ekstraklasa Pol;Cracovia;Lechia;1,83;S;1,83;G;1,9;1,9;1,36;3;2,25;1,61;2;0;
Eerste Divisie;Eindhoven;Graafschap;1,83;S;1,83;G;1,9;1,8;1,4;2,75;2,25;1,61;1;2;
Serie B;Alessandria;Spal;1,83;S;1,83;G;1,9;1,9;1,36;3;2,25;1,61;2;2;
Laliga;Espanyol;Vallecano;1,83;S;1,83;G;1,9;1,9;1,4;3;2,2;1,66;0;1;
Serie B;Cosenza;Alessandria;1,83;S;1,83;G;1,95;1,8;1,4;2,75;2,35;1,57;2;1;
J2 League Giap;Kofu;Yokohama FC;1,83;S;1,83;G;2;1,72;1,44;2,62;2,4;1,53;1;2;
Liga Portugal 2;Varzim;FC Porto B;1,83;S;1,83;G;2;1,72;1,4;2,75;2,3;1,6;2;1;
Ligue 1;Metz;Clermont;1,83;ND;1,83;ND;2;1,75;1,5;2,62;2,5;1,53;1;1;
League Two Eng;Harrogate;Leyton Orient;1,83;S;1,83;G;2,1;1,66;1,5;2,5;2,6;1,47;0;3;
Primera A Col;Once Caldas;Tolima;1,83;S;1,83;G;2,37;1,53;1,61;2,2;3,1;1,36;2;2;
J1 League Giap;Avispa Fukuoka;Sagan Tosu;1,83;ND;1,83;ND;2,37;1,53;1,66;2,1;2,87;1,4;0;0;
Premier League;Newcastle;Aston Villa;1,9;G;1,8;S;1,66;2,1;1,25;4;1,86;2,04;1;0;
Laliga;Villarreal;Real Madrid;1,9;G;1,8;S;1,7;2,05;1,28;3,75;1,98;1,92;0;0;
Copa Sudamerica;Melgar;Racing Club;1,9;G;1,8;S;1,72;2;1,3;3,4;2,05;1,75;3;1;
Ligue 1;Nizza;Rennes;1,9;G;1,8;S;1,75;2;1,3;3,5;2,06;1,84;1;1;
Liga Portugal 2;Varzim;Nacional;1,9;G;1,8;S;1,83;1,83;1,36;3;2,15;1,66;0;0;
Super Lig;Giresunspor;Fenerbahce;1,9;G;1,8;S;1,83;1,83;1,36;3;2,15;1,66;1;2;
Premier League;Watford;Crystal Palace;1,9;G;1,8;S;2;1,75;1,44;2,75;2,37;1,57;1;4;
Primera Division Cil;U Espanola;Nublense;1,9;S;1,8;G;1,66;2,1;1,25;3,75;1,9;1,95;1;0;
Primera Division Cil;U Espanola;Nublense;1,9;S;1,8;G;1,66;2,1;1,25;3,75;1,9;1,95;1;0;
Conference League;Paok;Marsiglia;1,9;ND;1,8;ND;1,66;2,1;1,28;3,5;1,95;1,9;0;1;
Superettan Svez;Orebro;Halmstad;1,9;S;1,8;G;1,75;2;1,3;3,4;2,02;1,83;0;2;
Copa Libertdores;Lara;Bolivar;1,9;S;1,8;G;1,8;1,95;1,33;3,25;2,15;1,66;2;3;
Nazionali;Australia;Giappone;1,9;S;1,8;G;2,2;1,61;1,57;2,25;3,1;1,36;0;2;
Primera A Col;Pasto;LA Equidad;1,9;S;1,8;G;2,2;1,61;1,5;2,5;2,7;144;1;1;
Serie A;Roma;Lazio;1,93;S;1,83;G;1,8;1,95;1,33;3,4;2,1;1,72;3;0;
League One;Crewe;Plymouth;2;G;1,72;S;1,57;2,25;1,2;4,33;1,66;2,15;1;4;
Bundesliga;Magonza;Dortmund;2;G;1,72;S;1,57;2,25;1,22;4,33;1,72;2,1;0;1;
A League;Wellington;Melbourne;2;G;1,72;S;1,7;2,05;1,28;3,75;1,9;1,95;1;0;
Ligue 1;Montpellier;Lilla;2;G;1,72;S;1,8;1,95;1,33;3,4;2,1;1,72;0;1;
Liga 1 Peru;U San Martin;Carlos Mannucci;2;G;1,72;S;1,8;1,9;1,3;3,4;2,05;1,8;1;3;
Laliga;Vallecano;Siviglia;2;G;1,72;S;2;1,75;1,44;2,75;2,37;1,57;1;1;
Laliga;Maiorca;Ath Bilbao;2;G;1,72;S;2,1;1,66;1,53;2,5;2,62;1,5;3;2;
League One;Accrington;Oxford Utd;2;S;1,72;G;1,57;2,25;1,2;4,33;1,66;2,15;2;0;
Serie B;Como;LR Vicenza;2;S;1,72;G;1,61;2,2;1,22;4;1,7;2,1;0;2;
Serie B;Como;Ternana;2;S;1,72;G;1,66;2,1;1,25;3,75;1,8;2,05;1;1;
Premier League;Leicester;Aston Villa;2;S;1,72;G;1,7;2,05;1,28;3,75;1,95;1,95;0;0;
Copa Sudamerica;Antofagasta;U Espanola;2;S;1,72;G;1,72;2;1,28;3,5;1,95;1,9;0;1;
Serie B;Cittadella;Cremonese;2;S;1,72;G;1,75;2;1,3;3,4;2;1,85;0;2;
Serie B;Como;Cittadella;2;S;1,72;G;1,75;2;1,3;3,4;2,02;1,83;1;2;
Ligue 2;Caen;Auxerre;2;S;1,72;G;1,83;1,83;1,33;3,25;2,05;1,75;1;1;
Primera Division Uru;Cerrito;Danubio;2;S;1,72;G;1,9;1,8;1,4;2,75;2,4;1,53;0;1;
Copa Sudamerica;Guairena FC;Nacional Asuncion;2;ND;1,72;ND;1,9;1,8;1,4;2,75;2,35;1,57;0;0;
League Two Eng;Hartlepool;Mansfield;2;S;1,72;G;1,9;1,8;1,4;2,75;2,25;1,61;2;2;
Premier League;Brighton;Crystal Palace;2;S;1,72;G;1,95;1,8;1,4;3;2,3;1,61;0;0;
Serie B;Perugia;Frosinone;2;S;1,72;G;2;1,75;1,44;2,62;2,35;1,57;3;0;
Serie B;Reggina;Crotone;2;S;1,72;G;2;1,75;1,44;2,62;2,35;1,57;1;0;
J2 League Giap;Omiya Ardija;Okayama;2;ND;1,72;ND;2;1,72;1,44;2,62;2,4;1,53;1;1;
Premier League;Wolves;Aston Villa;2;S;1,72;G;2,05;1,7;1,5;2,62;2,5;1,53;2;1;
J2 League Giap;Grulla Morioka;Renofa Yamaguchi;2;S;1,72;G;2,1;1,66;1,5;2,5;2,5;1,5;0;0;
Liga Portugal 2;Trofense;Varzim;2;S;1,72;G;2,1;1,66;1,44;2,62;2,35;1,57;1;0;
Ligue 2;LE Havre;Caen;2;S;1,72;G;2,2;1,61;1,53;2,37;2,7;1,44;2;4;
2 Bundesliga;Dresda;ST Pauli;2,1;G;1,66;S;1,61;2,2;1,25;3,75;1,88;1,98;1;1;
Laliga;Siviglia;Real Madrid;2,1;G;1,66;S;1,7;2,05;1,28;3,75;1,92;1,98;2;3;
Primera Div Costar;San Carlos;Heridiano;2,1;G;1,66;S;1,72;2;1,3;3,4;2,05;1,75;1;1;
Serie B;Crotone;Frosinone;2,1;G;1,66;S;1,75;2;1,28;3,5;2,02;1,83;2;0;
League One;Portsmouth;Rotherham;2,1;G;1,66;S;1,8;1,95;1,33;3,25;2,05;1,75;3;0;
Serie A;Genoa;Torino;2,1;G;1,66;S;2,05;1,7;1,5;2,62;2,5;1,53;1;0;
Premier League;Leicester;West Ham;2,1;S;1,66;G;1,57;2,25;1,22;4,33;1,72;2,1;2;2;
Conference League;Lask;Slavia Praga;2,1;S;1,66;G;1,57;2,25;1,2;4,33;1,7;2,1;4;3;
Europa League;Real Sociedad;RB Lipsia;2,1;S;1,66;G;1,66;2,1;1,25;4;1,84;2,06;1;3;
Eredivisie;Helmond;Telstar;2,1;S;1,66;G;1,66;2,1;1,25;3,75;1,85;2;2;2;
Serie A;Lazio;Milan;2,1;S;1,66;G;1,7;2,05;1,28;3,75;1,92;1,98;1;2;
Serie A;Atalanta;Juventus;2,1;S;1,66;G;1,75;2;1,3;3,5;2,08;1,82;1;1;
Superliga;Brondby;Midtjylland;2,1;S;1,66;G;1,75;2;1,28;3,5;2;1,85;1;3;
Liga Portugal;Vizela;Famalicao;2,1;S;1,66;G;1,8;1,95;1,33;3,25;2,07;1,72;1;1;
League Two Eng;Rochdale;Mansfield;2,1;S;1,66;G;1,8;1,9;1,33;3,25;2,07;1,72;0;1;
League Two Eng;Rochdale;Mansfield;2,1;S;1,66;G;1,8;1,9;1,33;3,25;2,07;1,72;0;1;
Premier League;Norwich;Burnley;2,1;S;1,66;G;1,8;1,95;1,33;3,4;2,1;1,8;2;0;
Serie B;Pordenone;Spal;2,1;S;1,66;G;1,9;1,9;1,36;3;1,95;1,9;1;1;
Serie B;Ascoli;Perugia;2,1;S;1,66;G;1,9;1,9;1,36;3;2,1;1,7;0;1;
Championship;Blackpool;Nottingham;2,1;S;1,66;G;1,93;1,83;1,36;3,2;2,2;1,66;1;4;
Serie A;Udinese;Torino;2,1;S;1,66;G;1,95;1,8;1,4;3;2,2;1,66;2;0;
Serie B;Ascoli;Pisa;2,1;S;1,66;G;1,95;1,8;1,4;2,75;2,3;1,6;2;0;
Coppa Colombia;Real Cartagena;Huila;2,1;S;1,66;G;2;1,72;1,44;2,62;2,4;1,53;0;0;
Superettan Svez;Landskrona;Osters;2,1;S;1,66;G;2,05;1,7;1,44;2,62;2,5;1,5;1;3;
Serie A;Sassuolo;Atalanta;2,2;G;1,61;S;1,36;3;1,12;6;1,4;3;2;1;
Bundesliga;Wolfsburg;Leverkusen;2,2;G;1,61;S;1,66;2,1;1,25;4;1,8;2;0;2;
Laliga;Cadice;Betis;2,2;G;1,61;S;1,95;1,8;1,4;3;2,3;1,61;1;2;
Primera Nacional;Atletico Atlanta;Almirante Brown;2,2;G;1,61;S;2;1,72;1,44;2,62;2,4;1,53;1;1;
Nazionali;Paraguay;Ecuador;2,2;G;1,61;S;2,2;1,61;1,53;2,37;2,7;1,44;3;1;
Ligue 2;Auxerre;Tolosa;2,2;S;1,61;G;1,61;2,2;1,22;4;1,75;2,05;1;2;
Jupiler League;Beerschot VA;Kortrijk;2,2;S;1,61;G;1,66;2,1;1,22;4;1,8;2;2;1;
League One;Fleetwood;Milton Keynes;2,2;S;1,61;G;1,7;2,05;1,28;3,5;1,93;1,93;1;1;
Superettan Svez;Orgryte;Halmstad;2,2;S;1,61;G;1,8;1,95;1,33;3,25;2,07;1,72;2;2;
Championship;Barnsley;Blackpool;2,2;S;1,61;G;1,8;1,9;1,33;3,4;2,05;1,8;0;2;
Championship;Blackpool;Sheffield Utd;2,2;ND;1,61;ND;1,83;1,83;1,36;3,2;2,1;1,72;0;0;
J1 League Giap;Shimizu;C Osaka;2,2;S;1,61;G;1,95;1,8;1,36;3;2,25;1,61;1;3;
J2 League Giap;Vegalta Sendai;Machida;2,2;S;1,61;G;2;1,72;1,44;2,62;2,4;1,53;0;3;
Primera A Col;America DE Cali;Millonarios;2,2;S;1,61;G;2;1,72;1,44;2,62;2,4;1,53;3;2;
Laliga;Levante;Betis;2,25;G;1,57;S;1,7;2,05;1,25;4;1,84;2,06;2;4;
League One;Cheltenham;Sunderland;2,25;G;1,57;S;1,7;2,05;1,25;3,75;1,88;1,98;2;1;
Serie A;Salernitana;Bologna;2,25;G;1,57;S;1,7;2,05;1,28;3,75;1,94;1,96;1;1;
Serie B;Crotone;Cremonese;2,25;G;1,57;S;1,7;2,05;1,25;3,75;1,85;2;3;1;
Championship;Middlesbrough;Fulham;2,25;G;1,57;S;1,72;2;1,33;3,4;2,02;1,83;0;1;
Championship;West Brom;Fulham;2,25;G;1,57;S;1,8;1,9;1,33;3,4;2,05;1,8;1;0;
Premier League;Norwich;Newcastle;2,25;G;1,57;S;1,8;1,95;1,33;3,4;2,1;1,72;0;3;
Championship;Peterborough;Swansea;2,25;G;1,57;S;1,83;1,83;1,33;3,4;2,1;1,72;2;3;
League Two Eng;Oldham;Leyton Orient;2,25;G;1,57;S;1,83;1,83;1,33;3,25;2,05;1,75;2;0;
Ligue 2;Nancy;AC Ajaccio;2,25;G;1,57;S;2,37;1,53;1,61;2,2;3,1;1,36;0;2;
Eerste Divisie;Den Bosch;Venlo;2,25;S;1,57;G;1,5;2,5;1,14;5,5;1,57;2,35;0;0;
Super Lig;Hatayspor;Adana Demirspor;2,25;S;1,57;G;1,61;2,2;1,22;4;1,72;2,07;0;0;
Serie B;Ternana;Lecce;2,25;S;1,57;G;1,66;2,1;1,25;3,75;1,88;1,98;1;4;
Super Lig;Adana Demirspor;Samsunspor;2,25;ND;1,57;ND;1,72;2;1,28;3,5;1,9;1,9;1;0;
Bundesliga;Augusta;Magonza;2,25;S;1,57;G;1,8;1,95;1,3;3,5;2,04;1,86;2;1;
Bundesliga;Bielefeld;Stoccarda;2,25;S;1,57;G;1,9;1,9;1,36;3,2;2,2;1,66;1;1;
Nazionali;Ecuador;Argentina;2,25;ND;1,57;ND;1,95;1,8;1,4;2,75;2,3;1,6;1;1;
Ligue 1;Lorient;Strasburgo;2,25;S;1,57;G;2;1,75;1,44;2,75;2,37;1,57;0;0;
Jupiler League;Leuven;Genk;2,37;G;1,53;S;1,5;2,5;1,16;5;1,53;2,4;2;1;
Bundesliga;Hertha;Hoffenheim;2,37;G;1,53;S;1,53;2,37;1,2;4,5;1,61;2,3;3;0;
Eerste Divisie;Almere;FC Emmen;2,37;G;1,53;S;1,83;1,83;1,33;3,25;2,05;1,75;0;0;
Conference League;Basilea;Marsiglia;2,37;S;1,53;G;1,53;2,37;1,18;4,5;1,6;2,3;1;2;
Eerste Divisie;Jong AZ;Jong Psv;2,37;S;1,53;G;1,53;2,37;1,18;4,5;1,66;2,15;2;0;
2 Bundesliga;Viktoria Koln;Osnabruck;2,37;S;1,53;G;1,61;2,2;1,22;4;1,75;2,05;1;1;
Superliga;Randers;Midtjylland;2,37;S;1,53;G;1,61;2,2;1,22;4;1,75;2,05;1;3;
Premier League;Aston Villa;Tottenham;2,37;ND;1,53;ND;1,7;2,05;1,28;3,75;1,92;1,98;0;4;
Jupiler League;Seraing;Antwerp;2,37;S;1,53;G;1,75;2;1,28;3,5;1,93;1,93;0;1;
K League 2 Cor;Busan;Anyang;2,37;S;1,53;G;1,83;1,83;1,36;3;2,15;1,66;1;1;
Serie B;Spal;Cremonese;2,37;S;1,53;G;1,9;1,9;1,36;3;2,1;1,7;0;2;
Primera A Col;Pereira;Junior;2,37;S;1,53;G;1,9;1,8;1,4;2,75;2,35;1,57;1;0;
Superliga;Aarhus;Viborg;2,37;S;1,53;G;1,9;1,9;1,36;3;2,1;1,7;0;2;
J2 League Giap;Tochigi;Chiba;2,37;S;1,53;G;2,75;1,4;1,83;1,83;4;1,25;2;1;
Bundesliga;Colonia;Dortmund;2,5;G;1,5;S;1,44;2,62;1,14;5,5;1,5;2,62;1;1;
Bundesliga;Union Berlino;Dortmund;2,5;G;1,5;S;1,66;2,1;1,25;4;1,8;2;0;3;
Eredivisie;Twente;Psv;2,5;G;1,5;S;1,66;2,1;1,22;4;1,75;2,05;3;3;
Premier League;Arsenal;Liverpool;2,5;G;1,5;S;1,7;2,05;1,25;4;1,72;2,1;0;2;
Serie A;Verona;Napoli;2,5;G;1,5;S;1,8;1,95;1,3;3,5;2,03;1,87;1;2;
Laliga;Cadice;Villarreal;2,5;G;1,5;S;1,8;1,95;1,33;3,4;2,1;1,72;1;0;
Serie A;Genoa;Lazio;2,5;G;1,5;S;1,8;1,95;1,33;3,4;2,1;1,72;1;4;
Premier League;Norwich;Crystal Palace;2,5;G;1,5;S;1,9;1,9;1,36;3,2;2,1;1,72;1;1;
Serie A;Salernitana;Torino;2,5;G;1,5;S;1,9;1,9;1,36;3,2;2,1;1,72;0;1;
Serie A;Sassuolo;Roma;2,5;S;1,5;G;1,57;2,25;1,2;4,5;1,72;2,1;2;2;
Premier League;Manchester Utd;Chelsea;2,5;S;1,5;G;1,66;2,1;1,25;4;1,82;2,08;1;1;
League Two Eng;Oldham;Sutton;2,5;S;1,5;G;1,72;2;1,28;3,5;1,95;1,9;1;3;
League Two Eng;Oldham;Sutton;2,5;S;1,5;G;1,72;2;1,28;3,5;1,95;1,9;1;3;
Serie B;Cosenza;Parma;2,5;S;1,5;G;1,8;1,95;1,33;3,25;2,07;1,72;1;3;
Premier League;Brighton;Tottenham;2,5;S;1,5;G;1,9;1,9;1,36;3,2;2,1;1,72;0;2;
Serie B;Reggina;Benevento;2,5;S;1,5;G;1,95;1,8;1,36;3;2,1;1,7;0;3;
2 Bundesliga;Rostock;Brema;2,62;G;1,44;S;1,61;2,2;1,22;4;1,72;2,07;1;2;
Bundesliga;Bochum;Leverkusen;2,62;G;1,44;S;1,61;2,2;1,22;4,33;1,66;2,2;0;0;
Bundesliga;Furth;Colonia;2,62;G;1,44;S;1,66;2,1;1,25;4;1,8;2;1;1;
Champions League;Lilla;Chelsea;2,62;G;1,44;S;2,2;1,61;1,5;2,62;2,5;1,53;1;2;
Ligue 1;Monaco;Paris SG;2,62;S;1,44;G;1,53;2,37;1,2;4,5;1,61;2,3;3;0;
Bundesliga;Stoccarda;Dortmund;2,62;ND;1,44;ND;1,57;2,25;1,2;4,5;1,57;2,37;0;2;
3 Liga;Meppen;Wehen;2,62;S;1,44;G;1,66;2,1;1,22;4;1,8;2;0;4;
2 Bundesliga;Aue;Kiel;2,62;S;1,44;G;1,72;2;1,25;3,75;1,88;1,98;2;3;
Serie B;Como;Lecce;2,62;S;1,44;G;1,75;2;1,28;3,5;1,95;1,9;1;1;
Championship;Birmingham;Middlesbrough;2,62;S;1,44;G;1,8;1,9;1,3;3,5;2;1,85;0;2;
Serie A;Venezia;Udinese;2,62;S;1,44;G;1,8;1,95;1,3;3,5;2,01;1,89;1;2;
Serie B;Cosenza;Brescia;2,62;S;1,44;G;1,9;1,9;1,33;3,25;2,07;172;0;0;
Championship;Huddersfield;Sheffield Utd;2,62;S;1,44;G;1,9;1,8;1,4;3;2,2;1,66;0;0;
Europa League;Din Zagabria;Siviglia;2,62;S;1,44;G;1,95;1,8;1,36;3,2;2,2;1,66;1;0;
Coppa Colombia;Tigres;Leones;2,62;S;1,44;G;2;1,72;1,4;2,75;2,25;1,61;2;0;
Premier League;Wolves;Arsenal;2,62;S;1,44;G;2;1,75;1,44;2,75;2,37;1,57;0;1;
Ligue 1;Troyes;Strasburgo;2,62;ND;1,44;ND;2;1,75;1,44;2,75;2,3;1,61;1;1;
Liga 1 Rom;Rapid Bucarest;Sepsi;2,62;S;1,44;G;2,37;1,53;1,61;2,2;3,1;1,36;1;1;
Laliga;Osasuna;Real Madrid;2,75;G;1,4;S;1,61;2,2;1,22;4,33;1,72;2,1;1;3;
Bundesliga Aus;Sturm Graz;Salzburg;2,75;G;1,4;S;1,66;2,1;1,22;4;1,72;2,07;2;1;
Serie A;Spezia;Fiorentina;2,75;G;1,4;S;1,7;2,05;1,25;4;1,86;2,04;1;2;
Premier League;Everton;Manchester Utd;2,75;G;1,4;S;1,7;2,05;1,25;4;1,8;2;1;0;
Ligue 2;Valenciennes;Tolosa;2,75;G;1,4;S;1,72;2;1,28;3,5;2;1,85;1;3;
Eerste Divisie;Waalwijk;Utrecht;2,75;G;1,4;S;1,8;1,95;1,28;3,5;1,85;2;1;1;
Premier League;Crystal Palace;Arsenal;2,75;G;1,4;S;1,95;1,8;1,36;3,2;2,1;1,72;3;0;
Superliga;Vejle;Midtjylland;2,75;G;1,4;S;1,95;1,8;1,4;2,75;2,25;1,61;0;1;
A League;Newcastle Jets;Sydney FC;2,75;S;1,4;G;1,7;2,05;1,25;4;1,8;2;2;0;
2 Bundesliga;Dresda;Schalke;2,75;ND;1,4;ND;1,72;2;1,25;3,75;1,83;2,02;1;2;
Championship;Swansea;Bournemouth;2,75;S;1,4;G;1,72;2;1,28;3,75;1,93;1,93;3;3;
Nazionali;Turchia;Italia;2,75;ND;1,4;ND;1,8;1,9;1,3;3,4;2,02;1,83;2;3;
Premier League;Watford;Brighton;2,75;S;1,4;G;2;1,75;1,4;3;2,2;1,66;0;2;
Laliga;Cadice;Celta Vigo;2,75;S;1,4;G;2,05;1,7;1,44;2,75;2,37;1,57;0;0;
Serie A;Bologna;Atalanta;3;G;1,36;S;1,8;1,95;1,3;3,5;2,04;1,86;0;1;
Liga Portugal;Portimonense;Braga;3;G;1,36;S;1,95;1,8;1,36;3;2,1;1,7;1;2;
A League;Newcastle Jets;Melbourne;3;S;1,36;G;1,53;2,37;1,16;5;1,53;2,5;2;4;
Jupiler League;Leuven;Antwerp;3;S;1,36;G;1,57;2,25;1,16;5;1,57;2,35;0;1;
Ligue 1;Reims;Lione;3;ND;1,36;ND;1,8;1,95;1,3;3,5;1,99;1,91;0;0;
Europa League;Francoforte;Barcellona;3;S;1,36;G;1,8;1,95;1,25;4;1,87;2,03;1;1;
Conference League;Bodo Glimt;Roma;3;S;1,36;G;1,9;1,8;1,33;3,25;2,07;1,72;2;1;
Serie B;Alessandria;Monza;3;S;1,36;G;1,95;1,8;1,33;3,25;2,05;1,75;0;3;
League One;Doncaster;Charlton;3;S;1,35;G;2;1,75;1,36;3;2,15;1,66;0;1;
J1 League Giap;Iwata;Nagoya;3;S;1,36;G;2,5;1,5;1,57;2,25;2,7;1,44;2;1;
Europa League;Rangers;Dortmund;3,25;G;1,33;S;1,53;2,37;1,16;5;1,53;2,5;2;2;
Super Lig;Rizespor;Trabzonspor;3,25;G;1,33;S;1,66;2,1;1,22;4;1,72;2,07;3;2;
A League;Macarthur FC;Melbourne City;3,25;S;1,33;G;1,57;2,25;1,16;5;1,57;2,37;0;1;
Serie A;Sassuolo;Juventus;3,25;ND;1,33;ND;1,57;2,25;1,16;5;1,57;2,37;1;2;
Ligue 1;Brest;Lione;3,25;S;1,33;G;1,61;2,2;1,16;5;1,57;2,37;2;1;
Laliga;Celta Vigo;Real Madrid;3,25;S;1,33;G;1,75;2;1,25;4;1,85;2,05;1;2;
Championship;Peterborough;Luton;3,25;S;1,33;G;1,83;1,83;1,3;3,5;1,95;1,9;1;1;
Serie B;Pordenone;Frosinone;3,25;S;1,33;G;1,9;1,9;1,28;3,5;1,93;1,93;2;0;
Premier League;Burnley;Tottenham;3,25;S;1,33;G;1,95;1,8;1,36;3,2;2,1;1,72;1;0;
Serie A;Empoli;Juventus;3,4;G;1,3;S;1,7;2,05;1,22;4,33;1,72;2,1;2;3;
A League;Wanderers;Melbourne;3,4;S;1,3;G;1,57;2,25;1,16;5;1,57;2,37;1;3;
Jupiler League;Leuven;Royale Union SG;3,4;S;1,3;G;1,66;2,1;1,2;4,33;1,61;2,25;1;4;
Bundesliga;Bochum;RB Lipsia;3,4;S;1,3;G;1,75;2;1,25;4;1,9;2;0;1;
Conference League;FC Copenhagen;Psv;3,4;S;1,3;G;1,8;1,9;1,25;3,75;1,85;2;0;4;
Liga Portugal;Braga;FC Porto;3,4;S;1,3;G;1,8;1,95;1,28;3,5;1,95;1,9;1;0;
1 Lig;Tuzlaspor;Umraniyespor;3,4;S;1,3;G;1,9;1,8;1,33;3,25;2,07;1,72;1;1;
League One;Doncaster;Ipswich;3,4;S;1,3;G;1,95;1,8;1,33;3,25;2,05;1,75;0;1;
Ligue 1;Metz;Lens;3,4;S;1,3;G;1,95;1,8;1,33;3,4;2,02;1,88;0;0;
Serie B;Cosenza;Benevento;3,4;S;1,3;G;1,95;1,8;1,3;3,4;2,05;1,8;1;0;
Champions League;Atl Madrid;Manchester City;3,4;S;1,3;G;2,05;1,7;1,4;3;2,2;1,66;0;0;
Serie A;Empoli;Napoli;3,5;G;1,28;S;1,53;2,37;1,16;5;1,5;2,62;3;2;
Eerste Divisie;Dordrecht;Den Haag;3,5;S;1,28;G;1,5;2,5;1,12;6;1,47;2,6;3;1;
Champions League;Benfica;Ajax;3,5;S;1,28;G;1,57;2,25;1,16;5;1,57;2,37;2;2;
Allsvenskan;Sirius;Hammarby;3,5;S;1,28;G;1,7;2,05;1,2;4,33;1,65;2,2;0;3;
Bundesliga;Furth;Friburgo;3,5;S;1,28;G;1,75;2;1,25;4;1,8;2;0;0;
Ligue 1;Montpellier;Rennes;3,5;S;1,28;G;1,8;1,95;1,25;4;1,86;2,04;2;4;
